filename,x_percent,y_percent
1761227654185692000.png,0.4813,0.4500
1761227527088901000.png,0.4859,0.4528
1761227656118989000.png,0.4896,0.4509
1761227543355119000.png,0.4828,0.4519
1761227510855935000.png,0.4885,0.4481
1761227654519027000.png,0.4854,0.4481
1761227549854928000.png,0.4818,0.4565
1761227513755810000.png,0.4896,0.4491
1761227530655435000.png,0.4797,0.4481
1761227630786298000.png,0.4859,0.4472
1761227515055824000.png,0.4885,0.4435
1761227652885723000.png,0.4969,0.4500
1761227562521259000.png,0.4828,0.5250
1761227637286134000.png,0.4859,0.4444
1761227622986466000.png,0.4865,0.4546
1761227576820958000.png,0.4813,0.4824
1761227606086913000.png,0.4844,0.5389
1761227602487102000.png,0.4859,0.4898
1761227532622042000.png,0.4948,0.4556
1761227551154932000.png,0.4833,0.4741
1761227616486637000.png,0.4786,0.4991
1761227552754905000.png,0.4833,0.4954
1761227590787300000.png,0.4932,0.4556
1761227614520014000.png,0.4693,0.5241
1761227661318849000.png,0.4927,0.4491
1761227643785968000.png,0.4901,0.4463
1761227620386541000.png,0.4844,0.4722
1761227545621734000.png,0.4849,0.4593
1761227537488615000.png,0.4839,0.4519
1761227612886771000.png,0.4823,0.5296
1761227667818692000.png,0.4885,0.4472
1761227565454517000.png,0.4818,0.5231
1761227573887655000.png,0.4802,0.5213
1761227643119334000.png,0.4958,0.4481
1761227561221329000.png,0.4828,0.5213
1761227661652189000.png,0.4880,0.4454
1761227634019525000.png,0.4807,0.4481
1761227615186694000.png,0.4802,0.5157
1761227592420609000.png,0.4880,0.4426
1761227660352203000.png,0.4854,0.4417
1761227642485947000.png,0.4646,0.4519
1761227641186043000.png,0.4719,0.4481
1761227644752595000.png,0.4896,0.4435
1761227661018851000.png,0.4896,0.4435
1761227544655097000.png,0.4776,0.4593
1761227523522332000.png,0.4776,0.4593
1761227657752322000.png,0.4906,0.4463
1761227657118955000.png,0.4906,0.4463
1761227669118690000.png,0.4906,0.4463
1761227517022495000.png,0.4823,0.4491
1761227541388509000.png,0.4828,0.4491
1761227649952532000.png,0.4865,0.4454
1761227591120597000.png,0.4958,0.4491
1761227624619729000.png,0.4839,0.4491
1761227528055499000.png,0.4875,0.4481
1761227660685547000.png,0.4859,0.4472
1761227605753565000.png,0.4839,0.5370
1761227526455502000.png,0.4875,0.4481
1761227525155568000.png,0.4854,0.4481
1761227508255991000.png,0.4896,0.4454
1761227528388834000.png,0.4870,0.4500
1761227618753257000.png,0.4859,0.4759
